Date,"Monthly active users (MAU) (Unique users, Per interval, Daily): All countries / regions","Monthly active users (MAU) (Unique users, Per interval, Daily): Egypt","Monthly active users (MAU) (Unique users, Per interval, Daily): Côte d’Ivoire","Monthly active users (MAU) (Unique users, Per interval, Daily): Senegal","Monthly active users (MAU) (Unique users, Per interval, Daily): United Kingdom","Monthly active users (MAU) (Unique users, Per interval, Daily): United States",Notes
13 Jan 2024,"24,011","15,505",809,-,-,-,
14 Jan 2024,"23,974","15,556",896,-,-,-,
15 Jan 2024,"24,332","15,743",883,-,-,-,
16 Jan 2024,"24,519","15,911",842,-,-,-,
17 Jan 2024,"24,581","16,066",881,-,-,-,
18 Jan 2024,"24,738","16,114",835,-,-,-,
19 Jan 2024,"24,980","16,288",871,-,-,-,
20 Jan 2024,"24,951","16,350",917,-,-,-,
21 Jan 2024,"25,345","16,365",834,-,-,-,
22 Jan 2024,"25,301","16,456",966,-,-,-,
23 Jan 2024,"25,312","16,463",859,-,-,-,
24 Jan 2024,"25,414","16,438",844,-,-,-,
25 Jan 2024,"25,682","16,446",874,-,-,-,
26 Jan 2024,"25,642","16,479",931,-,-,-,
27 Jan 2024,"25,604","16,576",906,-,-,-,
28 Jan 2024,"25,734","16,604",854,-,-,-,
29 Jan 2024,"25,769","16,536",870,-,-,-,
30 Jan 2024,"25,725","16,447",879,-,-,-,
31 Jan 2024,"25,817","16,418",925,-,-,-,
1 Feb 2024,"25,753","16,376",886,-,-,-,
2 Feb 2024,"25,854","16,328",898,-,-,-,
3 Feb 2024,"25,882","16,517",976,-,-,-,
4 Feb 2024,"25,982","16,415",946,-,-,-,
5 Feb 2024,"25,846","16,282",976,-,-,-,
6 Feb 2024,"25,879","16,204",945,-,-,-,
7 Feb 2024,"25,964","16,318",939,-,-,-,Change in reporting data: Data updated to only include users who installed or updated your app via Google Play or metrics related to your app if it uses a Google Play service. A significant change may indicate an issue with unauthorised usage. Consider using Play Integrity API to help address this issue.
8 Feb 2024,"25,910","16,076",978,-,-,-,
9 Feb 2024,"25,901","16,081",990,-,-,-,
10 Feb 2024,"25,790","15,867",936,-,-,-,
11 Feb 2024,"25,840","15,894",945,-,-,-,
12 Feb 2024,"25,778","15,902",926,-,-,-,
13 Feb 2024,"26,019","15,842",937,-,-,-,
14 Feb 2024,"25,859","15,876","1,016",-,-,-,
15 Feb 2024,"25,964","15,700",990,-,-,-,
16 Feb 2024,"26,036","15,557","1,083",-,-,-,
17 Feb 2024,"26,106","15,459","1,015",-,-,-,
18 Feb 2024,"25,993","15,516","1,155",-,-,-,
19 Feb 2024,"26,026","15,366","1,069",806,-,-,Roll-out of release: Started roll-out of 11 (3.4) at 100%.
20 Feb 2024,"26,140","15,403","1,198",794,-,-,
21 Feb 2024,"26,314","15,363","1,172",869,-,-,
22 Feb 2024,"26,497","15,301","1,272",864,-,-,
23 Feb 2024,"26,575","15,197","1,286",854,-,-,
24 Feb 2024,"26,592","15,172","1,156",843,-,-,
25 Feb 2024,"26,529","15,001","1,316",881,-,-,
26 Feb 2024,"26,396","14,939","1,301",868,-,-,
27 Feb 2024,"26,362","14,711","1,278",855,-,-,
28 Feb 2024,"26,417","14,712","1,358",922,-,-,
29 Feb 2024,"26,385","14,756","1,380",884,-,-,
1 Mar 2024,"26,338","14,648","1,304",868,-,-,
2 Mar 2024,"26,229","14,631","1,337",931,-,-,
3 Mar 2024,"26,597","14,582","1,195","1,537",-,-,
4 Mar 2024,"27,191","14,294","1,241","2,282",-,-,
5 Mar 2024,"27,367","13,723","1,311","2,957",-,-,
6 Mar 2024,"27,797","13,791","1,370","3,324",-,-,
7 Mar 2024,"28,040","13,764","1,269","3,585",-,-,
8 Mar 2024,"28,133","13,563","1,326","3,838",-,-,
9 Mar 2024,"28,375","13,627","1,416","4,061",-,-,
10 Mar 2024,"28,518","13,433","1,408","4,237",-,-,
11 Mar 2024,"28,702","13,337","1,356","4,546",-,-,
12 Mar 2024,"29,013","13,233","1,481","4,781",-,-,
13 Mar 2024,"29,065","13,042","1,574","4,932",-,-,
14 Mar 2024,"29,169","13,154","1,479","5,046",-,-,
15 Mar 2024,"29,494","13,050","1,557","5,428",-,-,
16 Mar 2024,"29,628","13,090","1,637","5,767",-,-,
17 Mar 2024,"29,854","13,016","1,558","5,927",-,-,
18 Mar 2024,"30,309","13,058","1,671","6,287",-,-,
19 Mar 2024,"30,765","13,002","1,625","6,557",-,-,
20 Mar 2024,"31,113","12,883","1,797","7,133",-,-,
21 Mar 2024,"31,431","12,745","1,787","7,380",-,-,
22 Mar 2024,"31,649","12,748","1,836","7,583",-,-,
23 Mar 2024,"31,719","12,565","1,796","7,639",-,-,
24 Mar 2024,"31,902","12,585","1,874","7,881",-,-,
25 Mar 2024,"32,026","12,631","1,910","8,039",-,-,
26 Mar 2024,"31,991","12,430","1,932","8,075",-,-,
27 Mar 2024,"31,843","12,278","1,837","8,297",-,-,
28 Mar 2024,"32,018","12,081","1,948","8,383",-,-,
29 Mar 2024,"32,002","11,855","1,998","8,586",-,-,
30 Mar 2024,"32,059","11,831","1,960","8,685",-,-,
31 Mar 2024,"31,947","11,656","2,043","8,599",-,-,
1 Apr 2024,"32,372","11,469","2,038","8,952",-,-,
2 Apr 2024,"32,334","11,589","2,183","8,762",-,-,
3 Apr 2024,"32,356","11,282","2,264","8,723",-,-,
4 Apr 2024,"32,498","11,250","2,123","8,756",-,-,
5 Apr 2024,"32,535","11,054","2,272","8,981",-,-,
6 Apr 2024,"32,466","11,062","2,285","9,019",-,-,
7 Apr 2024,"32,825","10,954","2,324","8,992",-,-,
8 Apr 2024,"33,046","10,879","2,376","9,339",-,-,
9 Apr 2024,"32,859","10,837","2,469","9,255",-,-,
10 Apr 2024,"32,723","10,756","2,443","9,043",-,-,
11 Apr 2024,"32,823","10,655","2,559","9,181",-,-,Roll-out of release: Started roll-out of 4.0 at 100%.
12 Apr 2024,"32,949","10,627","2,561","8,940",-,-,
13 Apr 2024,"32,843","10,428","2,474","8,970",-,-,
14 Apr 2024,"32,895","10,564","2,555","8,698",-,-,
15 Apr 2024,"32,733","10,513","2,553","8,587",-,-,
16 Apr 2024,"32,530","10,646","2,618","8,363",-,-,
17 Apr 2024,"32,276","10,449","2,653","7,959",-,-,
18 Apr 2024,"32,175","10,553","2,539","7,882",-,-,
19 Apr 2024,"31,984","10,362","2,650","7,809",-,-,
20 Apr 2024,"32,054","10,537","2,596","7,554",-,-,
21 Apr 2024,"31,880","10,423","2,615","7,468",-,-,
22 Apr 2024,"31,867","10,417","2,700","7,437",-,-,
23 Apr 2024,"31,794","10,371","2,666","7,410",-,-,
24 Apr 2024,"31,838","10,492","2,728","7,219",-,-,
25 Apr 2024,"31,903","10,484","2,703","7,147",-,-,
26 Apr 2024,"31,984","10,379","2,700","7,055",-,-,
27 Apr 2024,"31,969","10,407","2,784","6,990",-,-,
28 Apr 2024,"32,283","10,439","2,806","6,854",-,-,
29 Apr 2024,"31,957","10,271","2,917","6,454",-,-,
30 Apr 2024,"31,815","10,336","2,942","6,150",-,-,
1 May 2024,"31,559","10,370","2,970","5,964",-,-,
2 May 2024,"31,435","10,437","2,842","5,757",-,-,
3 May 2024,"31,209","10,190","3,038","5,508",-,-,
4 May 2024,"31,257","10,394","2,918","5,284",-,-,
5 May 2024,"30,928","10,481","2,910","4,902",-,-,
6 May 2024,"30,809","10,395","3,075","4,630",-,-,
7 May 2024,"30,830","10,551","2,998","4,525",-,-,
8 May 2024,"31,004","10,659","3,061","4,365",-,-,
9 May 2024,"30,788","10,683","3,111","4,199",-,-,
10 May 2024,"30,653","10,754","3,176","4,126",-,-,
11 May 2024,"30,657","10,699","3,102","3,959",-,-,
12 May 2024,"30,519","10,721","3,068","3,856",-,-,
13 May 2024,"30,466","10,617","3,074","3,907",-,-,
14 May 2024,"30,261","10,397","3,252","3,869",-,-,
15 May 2024,"30,204","10,553","3,222","3,797",-,-,
16 May 2024,"30,051","10,418","3,151","3,667",-,-,
17 May 2024,"29,839","10,481","3,166","3,519",-,-,
18 May 2024,"29,545","10,391","3,181","3,445",-,-,
19 May 2024,"29,689","10,250","3,167","3,437",-,-,
20 May 2024,"29,383","10,251","3,287","3,339",-,-,
21 May 2024,"29,402","10,113","3,256","3,447",-,-,
22 May 2024,"29,265","10,139","3,252","3,201",-,-,
23 May 2024,"29,079","9,962","3,304","3,242",-,-,
24 May 2024,"29,096","10,021","3,322","3,188",-,-,
25 May 2024,"28,990","9,933","3,291","3,194",-,-,
26 May 2024,"28,660","9,910","3,196","3,012",-,-,
27 May 2024,"28,436","9,852","3,201","3,031",-,-,
28 May 2024,"28,200","9,917","3,135","3,016",-,-,
29 May 2024,"28,025","9,834","3,204","2,897",-,-,
30 May 2024,"27,678","9,835","3,093","2,811",-,-,
31 May 2024,"27,574","9,697","3,115","2,760",-,-,
1 Jun 2024,"27,286","9,686","2,958","2,690",-,-,
2 Jun 2024,"27,079","9,542","3,019","2,851",-,-,
3 Jun 2024,"27,118","9,520","3,078","2,722",-,-,
4 Jun 2024,"26,881","9,642","3,094","2,724",-,-,
5 Jun 2024,"26,800","9,406","2,964","2,545",-,-,
6 Jun 2024,"26,512","9,451","3,016","2,651",-,-,
7 Jun 2024,"26,284","9,359","3,019","2,535",-,-,
8 Jun 2024,"26,131","9,315","2,908","2,509",-,-,
9 Jun 2024,"26,002","9,220","2,935","2,428",-,-,
10 Jun 2024,"25,848","9,241","2,813","2,367",-,-,
11 Jun 2024,"25,730","9,205","2,828","2,390",-,-,
12 Jun 2024,"25,544","9,169","2,772","2,389",-,-,
13 Jun 2024,"25,513","9,083","2,825","2,281",-,-,
14 Jun 2024,"25,532","9,010","2,833","2,252",-,-,
15 Jun 2024,"25,514","9,005","2,794","2,381",-,-,
16 Jun 2024,"25,369","8,945","2,891","2,245",-,-,
17 Jun 2024,"25,493","8,891","2,901","2,277",-,-,
18 Jun 2024,"25,616","9,107","2,945","2,197",-,-,
19 Jun 2024,"25,763","8,966","2,891","2,168",-,-,
20 Jun 2024,"25,714","9,088","2,910","2,265",-,-,
21 Jun 2024,"25,707","9,072","2,906","2,132",-,-,
22 Jun 2024,"25,813","9,027","2,964","2,170",-,-,
23 Jun 2024,"25,754","9,185","2,862","2,181",-,-,
24 Jun 2024,"25,697","9,101","2,816","2,061",-,-,
25 Jun 2024,"25,877","9,067","2,930","2,064",-,-,
26 Jun 2024,"25,772","9,107","2,825","2,083",-,-,
27 Jun 2024,"25,866","9,074","2,833","2,080",-,-,
28 Jun 2024,"26,000","9,096","2,828","2,082",-,-,
29 Jun 2024,"26,018","9,115","2,846","2,178",-,-,
30 Jun 2024,"26,242","9,168","2,908","2,059",-,-,
1 Jul 2024,"26,299","9,199","3,003","2,009",-,-,
2 Jul 2024,"26,556","9,078","3,056","2,091",-,-,
3 Jul 2024,"26,705","9,106","2,959","2,006",-,-,
4 Jul 2024,"26,768","9,169","3,096","2,126",-,-,
5 Jul 2024,"26,836","9,160","3,041","2,028",-,-,
6 Jul 2024,"26,805","9,121","2,873","2,038",-,-,
7 Jul 2024,"26,866","9,024","3,106","2,029",-,-,
8 Jul 2024,"26,866","9,099","2,980","1,974",-,-,
9 Jul 2024,"26,963","9,125","2,975","2,088",-,-,
10 Jul 2024,"27,003","9,010","3,052","2,152",-,-,
11 Jul 2024,"26,846","9,012","3,019","2,008",-,-,
12 Jul 2024,"26,801","9,011","2,899","2,092",-,-,
13 Jul 2024,"26,828","8,972","2,955","1,986",-,-,
14 Jul 2024,"26,832","8,954","2,951","1,867",-,-,
15 Jul 2024,"26,741","8,972","2,867","1,936",-,-,
16 Jul 2024,"26,729","8,967","2,895","2,002",-,-,
17 Jul 2024,"26,510","9,007","2,985","1,929",-,-,
18 Jul 2024,"26,404","8,880","2,919","1,948",-,-,
19 Jul 2024,"26,306","8,904","2,870","1,872",-,-,
20 Jul 2024,"26,100","8,812","2,872","1,693",-,-,
21 Jul 2024,"25,976","8,735","2,981","1,749",-,-,
22 Jul 2024,"25,816","8,709","2,960","1,788",-,-,
23 Jul 2024,"25,705","8,636","2,945","1,862",-,-,
24 Jul 2024,"25,656","8,762","3,036","1,689",-,-,
25 Jul 2024,"25,734","8,685","3,027","1,861",-,-,
26 Jul 2024,"25,488","8,570","2,955","1,762",-,-,
27 Jul 2024,"25,337","8,593","2,863","1,739",-,-,
28 Jul 2024,"25,116","8,586","2,978","1,684",-,-,
29 Jul 2024,"25,051","8,566","2,903","1,519",-,-,
30 Jul 2024,"25,019","8,411","2,944","1,727",-,-,
31 Jul 2024,"24,961","8,304","2,998","1,727",-,-,
1 Aug 2024,"24,860","8,351","2,872","1,654",-,-,
2 Aug 2024,"24,732","8,140","2,993","1,693",-,-,
3 Aug 2024,"24,729","8,249","2,901","1,650",-,-,
4 Aug 2024,"24,593","8,184","3,022","1,721",-,-,
5 Aug 2024,"24,358","8,115","2,927","1,653",-,-,
6 Aug 2024,"24,273","8,007","3,003","1,623",-,-,
7 Aug 2024,"24,255","7,947","2,964","1,586",-,-,
8 Aug 2024,"24,184","7,934","2,904","1,710",-,-,
9 Aug 2024,"24,096","7,858","2,964","1,654",-,-,
10 Aug 2024,"24,010","7,680","3,054","1,639",-,-,
11 Aug 2024,"24,000","7,636","3,058","1,807",-,-,
12 Aug 2024,"23,921","7,604","3,020","1,771",-,-,
13 Aug 2024,"23,916","7,548","2,836","1,883",-,-,
14 Aug 2024,"23,902","7,446","2,984","1,979",-,-,
15 Aug 2024,"23,948","7,295","3,037","2,060",-,-,
16 Aug 2024,"24,088","7,355","2,956","2,127",-,-,
17 Aug 2024,"24,333","7,229","3,038","2,154",-,-,
18 Aug 2024,"24,420","7,247","3,009","2,275",-,-,
19 Aug 2024,"24,541","7,213","3,008","2,388",-,-,
20 Aug 2024,"24,620","7,084","2,998","2,440",-,-,
21 Aug 2024,"24,834","7,058","3,072","2,439",-,-,
22 Aug 2024,"24,787","6,947","3,136","2,579",-,-,
23 Aug 2024,"24,794","6,981","3,119","2,549",-,-,
24 Aug 2024,"24,771","6,879","3,178","2,550",-,-,
25 Aug 2024,"24,753","6,983","3,109","2,501",-,-,
26 Aug 2024,"24,716","7,009","3,161","2,609",-,-,
27 Aug 2024,"24,850","6,920","3,206","2,527",-,-,
28 Aug 2024,"24,842","6,902","3,141","2,587",-,-,
29 Aug 2024,"25,035","6,953","3,157","2,647",-,-,
30 Aug 2024,"24,856","6,789","3,243","2,745",-,-,
31 Aug 2024,"24,748","6,937","3,110","2,659",-,-,
1 Sept 2024,"24,580","6,920","3,132","2,669",-,-,
2 Sept 2024,"24,769","6,925","3,135","2,657",-,-,
3 Sept 2024,"24,830","6,911","3,150","2,615",-,-,
4 Sept 2024,"24,860","6,991","3,062","2,693",-,-,
5 Sept 2024,"24,745","6,933","3,101","2,703",-,-,
6 Sept 2024,"24,771","6,952","3,057","2,711",-,-,
7 Sept 2024,"24,657","7,030","3,001","2,615",-,-,
8 Sept 2024,"24,709","6,976","3,089","2,645",-,-,
9 Sept 2024,"24,676","6,990","3,072","2,614",-,-,
10 Sept 2024,"24,643","6,867","3,070","2,564",-,-,
11 Sept 2024,"24,526","6,989","2,966","2,647",-,-,
12 Sept 2024,"24,415","7,025","3,034","2,599",-,-,
13 Sept 2024,"24,322","6,932","2,974","2,386",-,-,
14 Sept 2024,"24,209","6,969","2,990","2,368",-,-,
15 Sept 2024,"23,902","6,921","2,926","2,406",-,-,Roll-out of release: Started roll-out of 13 (4.1) at 100%.
16 Sept 2024,"23,830","6,991","3,002","2,323",-,-,
17 Sept 2024,"23,732","6,977","2,948","2,240",-,-,
18 Sept 2024,"23,667","6,969","2,891","2,240",-,-,
19 Sept 2024,"23,539","7,090","2,928","2,188",-,-,
20 Sept 2024,"23,449","7,018","2,928","2,182",-,-,
21 Sept 2024,"23,154","7,020","2,755","2,051",-,-,
22 Sept 2024,"23,014","6,987","2,674","2,045",-,-,
23 Sept 2024,"22,890","6,914","2,780","2,103",-,-,
24 Sept 2024,"22,599","6,892","2,686","2,005",-,-,
25 Sept 2024,"22,538","6,704","2,595","1,968",-,-,
26 Sept 2024,"22,529","6,866","2,619","1,975",-,-,
27 Sept 2024,"22,455","6,907","2,579","1,956",-,-,
28 Sept 2024,"22,365","6,802","2,619","1,869",-,-,
29 Sept 2024,"22,143","6,910","2,498","1,902",-,-,
30 Sept 2024,"22,132","6,793","2,598","1,939",-,-,
1 Oct 2024,"22,046","6,879","2,550","1,978",-,-,
2 Oct 2024,"21,911","6,819","2,487","2,007",-,-,
3 Oct 2024,"21,742","6,753","2,380","2,030",-,-,
4 Oct 2024,"21,716","6,641","2,347","1,874",-,-,
5 Oct 2024,"21,629","6,799","2,436","1,819",-,-,
6 Oct 2024,"21,661","6,856","2,367","1,967",-,-,
7 Oct 2024,"21,513","6,841","2,353","1,788",-,-,
8 Oct 2024,"21,479","6,905","2,412","1,908",-,-,
9 Oct 2024,"21,602","6,868","2,401","1,801",-,-,
10 Oct 2024,"21,467","6,828","2,307","1,825",-,-,
11 Oct 2024,"21,482","6,778","2,395","1,753",-,-,
12 Oct 2024,"21,365","6,946","2,402","1,687",-,-,
13 Oct 2024,"21,354","6,900","2,241","1,743",-,-,
14 Oct 2024,"21,272","6,844","2,344","1,792",-,-,
15 Oct 2024,"21,152","6,954","2,235","1,674",-,-,
16 Oct 2024,"21,201","6,921","2,268","1,793",-,-,
17 Oct 2024,"21,072","6,880","2,200","1,706",-,-,
18 Oct 2024,"20,995","6,840","2,145","1,693",-,-,
19 Oct 2024,"20,891","7,015","2,115","1,627",-,-,
20 Oct 2024,"20,933","6,771","2,316","1,650",-,-,
21 Oct 2024,"20,946","6,811","2,200","1,598",-,-,
22 Oct 2024,"21,182","6,857","2,305","1,731",-,-,
23 Oct 2024,"21,253","6,930","2,279","1,766",-,-,
24 Oct 2024,"21,282","7,011","2,269","1,656",-,-,
25 Oct 2024,"21,106","7,011","2,332","1,832",-,-,
26 Oct 2024,"21,203","7,050","2,357","1,814",-,-,
27 Oct 2024,"21,301","7,001","2,360","1,716",-,-,
28 Oct 2024,"21,371","6,867","2,250","1,800",-,-,
29 Oct 2024,"21,269","6,903","2,428","1,668",-,-,
30 Oct 2024,"21,265","6,976","2,284","1,749",-,-,
31 Oct 2024,"21,252","6,964","2,397","1,658",-,-,
1 Nov 2024,"21,381","6,929","2,366","1,655",-,-,
2 Nov 2024,"21,407","6,987","2,453","1,710",-,-,
3 Nov 2024,"21,437","7,030","2,358","1,772",-,-,
4 Nov 2024,"21,468","7,065","2,476","1,714",-,-,
5 Nov 2024,"21,458","7,008","2,309","1,711",-,-,
6 Nov 2024,"21,412","7,042","2,359","1,684",-,-,
7 Nov 2024,"21,371","7,020","2,423","1,693",-,-,
8 Nov 2024,"21,476","7,004","2,363","1,697",-,-,
9 Nov 2024,"21,631","7,084","2,303","1,600",-,-,
10 Nov 2024,"21,409","7,148","2,318","1,676",-,-,
11 Nov 2024,"21,517","7,196","2,359","1,652",-,-,
12 Nov 2024,"21,579","7,231","2,362","1,612",-,-,
13 Nov 2024,"21,621","7,269","2,340","1,564",-,-,
14 Nov 2024,"21,499","7,240","2,467","1,623",-,-,
15 Nov 2024,"21,514","7,241","2,413","1,610",-,-,
16 Nov 2024,"21,705","7,133","2,271","1,514",-,-,
17 Nov 2024,"21,615","7,175","2,434","1,701",-,-,
18 Nov 2024,"21,643","7,224","2,443","1,579",-,-,
19 Nov 2024,"21,579","7,256","2,443","1,524",-,-,
20 Nov 2024,"21,349","7,251","2,275","1,594",-,-,
21 Nov 2024,"21,445","7,155","2,422","1,422",-,-,
22 Nov 2024,"21,321","7,237","2,273","1,451",-,-,
23 Nov 2024,"21,318","7,175","2,247","1,398",-,-,
24 Nov 2024,"21,335","7,227","2,349","1,475",-,-,
25 Nov 2024,"21,269","7,123","2,209","1,558",-,-,
26 Nov 2024,"21,179","7,118","2,167","1,464",-,-,
27 Nov 2024,"21,153","7,133","2,252","1,525",-,-,
28 Nov 2024,"21,134","7,252","2,133","1,307",-,-,
29 Nov 2024,"21,094","7,180","2,123","1,326",-,-,
30 Nov 2024,"21,035","7,315","2,167","1,322",-,-,
1 Dec 2024,"20,965","7,261","2,107","1,266",-,-,
2 Dec 2024,"20,946","7,203","2,081","1,284",-,-,
3 Dec 2024,"20,870","7,276","2,050","1,192",-,-,
4 Dec 2024,"20,701","7,086","2,028","1,199",-,-,"Change in reporting data: Users who interacted with your app via Android widgets, watch faces, complications or tiles on devices running Android 15 or higher are now included in your engagement metrics."
5 Dec 2024,"20,588","7,011","2,038","1,266",-,-,
6 Dec 2024,"20,593","7,038","2,050","1,122",-,-,
7 Dec 2024,"20,530","7,004","2,126","1,213",-,-,
8 Dec 2024,"20,306","6,890","2,101","1,171",-,-,
9 Dec 2024,"20,203","6,953","1,898","1,143",-,-,
10 Dec 2024,"20,383","6,807","2,017","1,074",-,-,
11 Dec 2024,"20,263","6,755","2,067","1,056",-,-,
12 Dec 2024,"20,247","6,743","2,123","1,034",-,-,
13 Dec 2024,"20,288","6,788","1,961","1,037",-,-,
14 Dec 2024,"20,241","6,655","2,026","1,011",-,-,
15 Dec 2024,"20,137","6,730","2,079",964,-,-,
16 Dec 2024,"20,198","6,752","1,969","1,102",-,-,
17 Dec 2024,"20,492","6,620","2,116","1,178",-,-,
18 Dec 2024,"21,422","6,688","2,209","1,427",-,-,
19 Dec 2024,"21,828","6,571","2,478","1,482",-,-,
20 Dec 2024,"22,071","6,596","2,589","1,636",-,-,
21 Dec 2024,"22,349","6,573","2,637","1,554",-,-,
22 Dec 2024,"22,499","6,529","2,537","1,650",-,-,
23 Dec 2024,"22,625","6,578","2,695","1,622",-,-,
24 Dec 2024,"22,941","6,642","2,728","1,618",-,-,
25 Dec 2024,"22,953","6,530","2,750","1,587",-,-,
26 Dec 2024,"23,089","6,526","2,757","1,576",-,-,
27 Dec 2024,"23,213","6,359","2,734","1,634",-,-,
28 Dec 2024,"23,235","6,379","2,858","1,650",-,-,
29 Dec 2024,"23,247","6,446","2,876","1,623",-,-,
30 Dec 2024,"23,320","6,316","2,887","1,636",-,-,
31 Dec 2024,"23,305","6,313","2,944","1,727",-,-,
1 Jan 2025,"23,400","6,326","2,981","1,735",-,-,
2 Jan 2025,"23,401","6,282","2,956","1,721",-,-,
3 Jan 2025,"23,475","6,419","3,019","1,772",-,-,
4 Jan 2025,"23,466","6,231","3,125","1,727",-,-,
5 Jan 2025,"23,364","6,132","3,055","1,718",-,-,
6 Jan 2025,"23,516","6,110","3,041","1,742",-,-,
7 Jan 2025,"23,476","6,249","3,111","1,751",-,-,
8 Jan 2025,"23,294","6,122","3,104","1,787",-,-,
9 Jan 2025,"23,508","6,131","3,022","1,862",-,-,
10 Jan 2025,"23,492","6,091","3,170","1,752",-,-,
11 Jan 2025,"23,375","6,102","3,103","1,726",-,-,
12 Jan 2025,"23,416","6,139","3,198","1,854",-,-,
13 Jan 2025,"23,428","6,254","3,180","1,773",-,-,
14 Jan 2025,"23,212","6,022","3,119","1,746",-,-,
15 Jan 2025,"22,869","6,117","3,156","1,607",-,-,
16 Jan 2025,"22,587","6,086","3,033","1,561",-,-,
17 Jan 2025,"22,356","6,115","2,862","1,406",-,-,
18 Jan 2025,"22,370","6,103","2,945","1,440",-,-,
19 Jan 2025,"22,132","6,099","2,989","1,435",-,-,
20 Jan 2025,"22,003","6,065","2,892","1,416",-,-,
21 Jan 2025,"21,861","5,943","2,913","1,381",-,-,
22 Jan 2025,"21,769","6,065","2,806","1,319",-,-,
23 Jan 2025,"21,693","6,056","2,833","1,449",-,-,
24 Jan 2025,"21,734","5,946","2,822","1,525",-,-,
25 Jan 2025,"22,008","5,972","3,032","1,433",-,-,
26 Jan 2025,"22,284","6,139","2,981","1,784",-,-,
27 Jan 2025,"21,998","5,984","3,070","1,646",-,-,
28 Jan 2025,"22,181","6,113","2,991","1,656",-,-,
29 Jan 2025,"21,946","6,050","3,004","1,696",-,-,
30 Jan 2025,"21,967","6,007","3,053","1,635",-,-,
31 Jan 2025,"21,886","5,872","3,033","1,639",-,-,
1 Feb 2025,"21,854","5,781","2,921","1,616",-,-,
2 Feb 2025,"21,851","5,877","3,094","1,624",-,-,
3 Feb 2025,"21,820","5,839","2,917","1,673",-,-,
4 Feb 2025,"22,048","5,716","2,958","1,712",-,-,
5 Feb 2025,"22,038","5,757","2,943","1,832",-,-,
6 Feb 2025,"22,162","5,614","3,152","1,846",-,-,
7 Feb 2025,"22,172","5,601","2,983","1,846",-,-,
