Date,"Google Play rating (Per interval, Daily): All countries / regions","Google Play rating (Per interval, Daily): Egypt","Google Play rating (Per interval, Daily): Mauritania","Google Play rating (Per interval, Daily): Côte d’Ivoire","Google Play rating (Per interval, Daily): Algeria",Notes
23 Jan 2024,4.4,4.53,4.37,4.37,-,
24 Jan 2024,4.37,4.53,4.33,4.33,-,
25 Jan 2024,4.37,4.53,4.33,4.33,-,
26 Jan 2024,4.42,4.55,4.4,4.4,-,
27 Jan 2024,4.43,4.55,4.41,4.41,-,
28 Jan 2024,4.43,4.55,4.41,4.41,-,
29 Jan 2024,4.45,4.55,4.43,4.43,-,
30 Jan 2024,4.45,4.55,4.43,4.43,-,
31 Jan 2024,4.46,4.57,4.44,4.44,-,
1 Feb 2024,4.39,4.41,4.37,4.37,-,
2 Feb 2024,4.4,4.43,4.38,4.38,-,
3 Feb 2024,4.34,4.43,4.31,4.31,-,
4 Feb 2024,4.3,4.43,4.27,4.27,-,
5 Feb 2024,4.3,4.43,4.27,4.27,-,
6 Feb 2024,4.28,4.43,4.25,4.25,-,
7 Feb 2024,4.3,4.46,4.27,4.27,-,
8 Feb 2024,4.25,4.46,4.28,4.28,-,
9 Feb 2024,4.28,4.48,4.31,4.31,-,
10 Feb 2024,4.28,4.48,4.31,4.31,-,
11 Feb 2024,4.26,4.5,4.29,4.29,-,
12 Feb 2024,4.27,4.5,4.3,4.3,-,
13 Feb 2024,4.28,4.52,4.31,4.31,-,
14 Feb 2024,4.29,4.54,4.32,4.32,-,
15 Feb 2024,4.28,4.47,4.31,4.31,-,
16 Feb 2024,4.28,4.47,4.31,4.31,-,
17 Feb 2024,4.27,4.47,4.3,4.3,-,
18 Feb 2024,4.28,4.47,4.31,4.31,-,
19 Feb 2024,4.28,4.47,4.31,4.31,-,Roll-out of release: Started roll-out of 11 (3.4) at 100%.
20 Feb 2024,4.25,4.47,4.27,4.27,-,
21 Feb 2024,4.25,4.47,4.27,4.27,-,
22 Feb 2024,4.25,4.47,4.27,4.27,-,
23 Feb 2024,4.26,4.48,4.28,4.28,-,
24 Feb 2024,4.26,4.48,4.28,4.28,-,
25 Feb 2024,4.26,4.48,4.28,4.28,-,
26 Feb 2024,4.22,4.48,4.25,4.25,-,
27 Feb 2024,4.22,4.48,4.25,4.25,-,
28 Feb 2024,4.22,4.48,4.25,4.25,-,
29 Feb 2024,4.22,4.48,4.25,4.25,-,
1 Mar 2024,4.23,4.5,4.26,4.26,-,
2 Mar 2024,4.23,4.5,4.26,4.26,-,
3 Mar 2024,4.23,4.5,4.26,4.26,-,
4 Mar 2024,4.23,4.5,4.26,4.26,-,
5 Mar 2024,4.19,4.39,4.21,4.21,-,
6 Mar 2024,4.2,4.39,4.22,4.22,-,
7 Mar 2024,4.2,4.39,4.22,4.22,-,
8 Mar 2024,4.2,4.39,4.22,4.22,-,
9 Mar 2024,4.18,4.39,4.2,4.2,-,
10 Mar 2024,4.17,4.39,4.19,4.19,-,
11 Mar 2024,4.14,4.39,4.16,4.16,-,
12 Mar 2024,4.14,4.39,4.16,4.16,-,
13 Mar 2024,4.14,4.39,4.16,4.16,-,
14 Mar 2024,4.15,4.39,4.17,4.17,-,
15 Mar 2024,4.12,4.39,4.13,4.13,-,
16 Mar 2024,4.12,4.39,4.13,4.13,-,
17 Mar 2024,4.09,4.39,4.11,4.11,-,
18 Mar 2024,4.1,4.39,4.12,4.12,-,
19 Mar 2024,4.1,4.39,4.12,4.12,-,
20 Mar 2024,4.08,4.39,4.09,4.09,-,
21 Mar 2024,4,4.31,4.01,4.01,-,
22 Mar 2024,4.01,4.31,4.02,4.02,-,
23 Mar 2024,4.05,4.37,4.06,4.06,-,
24 Mar 2024,4.03,4.37,4.03,4.03,-,
25 Mar 2024,4.03,4.37,4.03,4.03,-,
26 Mar 2024,4.03,4.37,4.03,4.03,-,
27 Mar 2024,4.03,4.37,4.03,4.03,-,
28 Mar 2024,4,4.37,4,4,-,
29 Mar 2024,4.04,4.38,4.04,4.04,-,
30 Mar 2024,3.99,4.29,4.03,4.03,-,
31 Mar 2024,3.98,4.29,4.02,4.02,-,
1 Apr 2024,4.02,4.29,4.02,4.02,-,
2 Apr 2024,4.04,4.29,4.02,4.02,-,
3 Apr 2024,4.04,4.29,4.02,4.02,-,
4 Apr 2024,4.01,4.21,4.02,4.02,-,
5 Apr 2024,4.01,4.2,4.02,4.02,-,
6 Apr 2024,4.01,4.2,4.02,4.02,-,
7 Apr 2024,3.99,4.2,4.03,4.03,-,
8 Apr 2024,4,4.2,4.04,4.04,-,
9 Apr 2024,4.01,4.2,4.03,4.03,-,
10 Apr 2024,4.01,4.2,4.03,4.03,-,
11 Apr 2024,3.98,4.21,4.02,4.02,-,Roll-out of release: Started roll-out of 4.0 at 100%.
12 Apr 2024,3.98,4.21,4.02,4.02,-,
13 Apr 2024,3.97,4.21,4.01,4.01,-,
14 Apr 2024,3.97,4.21,4.01,4.01,-,
15 Apr 2024,3.99,4.21,4.01,4.01,-,
16 Apr 2024,3.95,4.21,3.97,3.97,-,
17 Apr 2024,3.95,4.21,3.99,3.99,-,
18 Apr 2024,3.95,4.21,3.99,3.99,-,
19 Apr 2024,3.96,4.23,3.99,3.99,-,
20 Apr 2024,3.98,4.23,3.99,3.99,-,
21 Apr 2024,3.91,4.18,3.95,3.95,-,
22 Apr 2024,3.92,4.18,3.93,3.93,-,
23 Apr 2024,3.87,4.18,3.91,3.91,-,
24 Apr 2024,3.88,4.2,3.92,3.92,-,
25 Apr 2024,3.88,4.22,3.91,3.91,-,
26 Apr 2024,3.88,4.22,3.91,3.91,-,
27 Apr 2024,3.86,4.22,3.89,3.89,-,
28 Apr 2024,3.86,4.22,3.89,3.89,-,
29 Apr 2024,3.88,4.22,3.91,3.91,-,
30 Apr 2024,3.86,4.22,3.9,3.9,-,
1 May 2024,3.82,4.15,3.86,3.86,-,
2 May 2024,3.8,4.12,3.83,3.83,-,
3 May 2024,3.8,4.12,3.83,3.83,-,
4 May 2024,3.87,4.16,3.88,3.88,-,
5 May 2024,3.9,4.16,3.91,3.91,-,
6 May 2024,3.9,4.16,3.91,3.91,-,
7 May 2024,3.89,4.17,3.93,3.93,-,
8 May 2024,3.89,4.17,3.89,3.89,-,
9 May 2024,3.91,4.17,3.91,3.91,-,
10 May 2024,3.9,4.11,3.9,3.9,-,
11 May 2024,3.9,4.11,3.9,3.9,-,
12 May 2024,3.9,4.11,3.9,3.9,-,
13 May 2024,3.9,4.11,3.9,3.9,-,
14 May 2024,3.9,4.11,3.9,3.9,-,
15 May 2024,3.9,4.11,3.9,3.9,-,
16 May 2024,3.89,4.11,3.89,3.89,-,
17 May 2024,3.88,4.11,3.88,3.88,-,
18 May 2024,3.87,4.11,3.87,3.87,-,
19 May 2024,3.88,4.11,3.88,3.88,-,
20 May 2024,3.9,4.13,3.9,3.9,-,
21 May 2024,3.9,4.13,3.9,3.9,-,
22 May 2024,3.93,4.13,3.93,3.93,-,
23 May 2024,3.93,4.13,3.93,3.93,-,
24 May 2024,3.93,4.13,3.93,3.93,-,
25 May 2024,3.9,4.09,3.9,3.9,-,
26 May 2024,3.9,4.09,3.9,3.9,-,
27 May 2024,3.91,4.05,3.91,3.91,-,
28 May 2024,3.91,4.05,3.91,3.91,-,
29 May 2024,3.91,4.05,3.91,3.91,-,
30 May 2024,3.92,4.05,3.92,3.92,-,
31 May 2024,3.91,4.04,3.91,3.91,-,
1 Jun 2024,3.91,4.05,3.91,3.91,-,
2 Jun 2024,3.94,4.08,3.94,3.94,-,
3 Jun 2024,3.92,4.08,3.92,3.92,-,
4 Jun 2024,3.93,4.08,3.93,3.93,-,
5 Jun 2024,3.97,4.08,3.97,3.97,-,
6 Jun 2024,3.97,4.08,3.97,3.97,-,
7 Jun 2024,3.93,4.08,3.93,3.93,-,
8 Jun 2024,3.93,4.08,3.93,3.93,-,
9 Jun 2024,3.93,4.08,3.93,3.93,-,
10 Jun 2024,3.93,4.08,3.93,3.93,-,
11 Jun 2024,3.92,4.03,3.92,3.92,-,
12 Jun 2024,3.91,4.03,3.91,3.91,-,
13 Jun 2024,3.88,4.03,3.88,3.88,-,
14 Jun 2024,3.91,4.03,3.91,3.91,-,
15 Jun 2024,3.88,4.03,3.88,3.88,-,
16 Jun 2024,3.88,4.03,3.88,3.88,-,
17 Jun 2024,3.9,4.03,3.9,3.9,-,
18 Jun 2024,3.93,4.03,3.93,3.93,-,
19 Jun 2024,3.93,4.03,3.93,3.93,-,
20 Jun 2024,3.95,4.05,3.95,3.95,-,
21 Jun 2024,3.94,4.06,3.94,3.94,-,
22 Jun 2024,3.92,4.06,3.92,3.92,-,
23 Jun 2024,3.92,4.06,3.92,3.92,-,
24 Jun 2024,3.92,4.08,3.92,3.92,-,
25 Jun 2024,3.94,4.08,3.94,3.94,-,
26 Jun 2024,3.99,4.08,3.99,3.99,-,
27 Jun 2024,3.99,4.08,3.99,3.99,-,
28 Jun 2024,3.99,4.08,3.99,3.99,-,
29 Jun 2024,4.03,4.08,4.03,4.03,-,
30 Jun 2024,4.03,4.08,4.03,4.03,-,
1 Jul 2024,4.03,4.08,4.03,4.03,-,
2 Jul 2024,4.05,4.08,4.05,4.05,-,
3 Jul 2024,4.06,4.08,4.06,4.06,-,
4 Jul 2024,4.06,4.08,4.06,4.06,-,
5 Jul 2024,4.06,4.08,4.06,4.06,-,
6 Jul 2024,4.05,4.09,4.05,4.05,-,
7 Jul 2024,4.05,4.09,4.05,4.05,3.4,
8 Jul 2024,4.05,4.09,4.05,4.05,3.4,
9 Jul 2024,4.05,4.09,4.05,4.05,3.4,
10 Jul 2024,4.09,4.15,4.09,4.09,3.4,
11 Jul 2024,4.09,4.15,4.09,4.09,3.4,
12 Jul 2024,4.09,4.15,4.09,4.09,3.4,
13 Jul 2024,4.09,4.15,4.09,4.09,3.4,
14 Jul 2024,4.09,4.15,4.09,4.09,3.4,
15 Jul 2024,4.09,4.15,4.09,4.09,3.4,
16 Jul 2024,4.05,4.15,4.05,4.05,3.4,
17 Jul 2024,4.06,4.15,4.06,4.06,3.4,
18 Jul 2024,4.06,4.15,4.06,4.06,3.4,
19 Jul 2024,4.12,4.15,4.12,4.12,3.4,
20 Jul 2024,4.12,4.15,4.12,4.12,3.4,
21 Jul 2024,4.13,4.15,4.13,4.13,3.4,
22 Jul 2024,4.13,4.15,4.13,4.13,3.4,
23 Jul 2024,4.14,4.15,4.14,4.14,3.4,
24 Jul 2024,4.13,4.16,4.13,4.13,3.4,
25 Jul 2024,4.09,4.16,4.09,4.09,3.4,
26 Jul 2024,4.06,4.16,4.06,4.06,3.4,
27 Jul 2024,4.08,4.16,4.08,4.08,3.4,
28 Jul 2024,4.12,4.19,4.12,4.12,3.4,
29 Jul 2024,4.12,4.19,4.12,4.12,3.4,
30 Jul 2024,4.11,4.21,4.11,4.11,3.4,
31 Jul 2024,4.11,4.21,4.11,4.11,3.4,
1 Aug 2024,4.14,4.21,4.14,4.14,3.5,
2 Aug 2024,4.14,4.21,4.14,4.14,3.5,
3 Aug 2024,4.13,4.21,4.13,4.13,3.5,
4 Aug 2024,4.13,4.21,4.13,4.13,3.5,
5 Aug 2024,4.13,4.21,4.13,4.13,3.5,
6 Aug 2024,4.15,4.22,4.15,4.15,3.5,
7 Aug 2024,4.16,4.22,4.16,4.16,3.5,
8 Aug 2024,4.17,4.22,4.17,4.17,3.5,
9 Aug 2024,4.12,4.22,4.12,4.12,3.5,
10 Aug 2024,4.13,4.22,4.13,4.13,3.5,
11 Aug 2024,4.13,4.22,4.13,4.13,3.5,
12 Aug 2024,4.12,4.22,4.12,4.12,3.5,
13 Aug 2024,4.12,4.22,4.12,4.12,3.5,
14 Aug 2024,4.09,4.22,4.09,4.09,3.5,
15 Aug 2024,4.09,4.22,4.09,4.09,3.5,
16 Aug 2024,4.14,4.22,4.14,4.14,3.5,
17 Aug 2024,4.13,4.22,4.13,4.13,3.5,
18 Aug 2024,4.1,4.22,4.1,4.1,3.5,
19 Aug 2024,4.09,4.22,4.09,4.09,3.5,
20 Aug 2024,4.08,4.22,4.08,4.08,3.5,
21 Aug 2024,4.1,4.22,4.1,4.1,3.5,
22 Aug 2024,4.1,4.22,4.1,4.1,3.5,
23 Aug 2024,4.1,4.22,4.1,4.1,3.5,
24 Aug 2024,4.12,4.22,4.12,4.12,3.5,
25 Aug 2024,4.1,4.23,4.1,4.1,3.5,
26 Aug 2024,4.1,4.23,4.1,4.1,3.5,
27 Aug 2024,4.11,4.24,4.11,4.11,3.5,
28 Aug 2024,4.14,4.24,4.14,4.14,3.71,
29 Aug 2024,4.14,4.23,4.14,4.14,3.71,
30 Aug 2024,4.16,4.23,4.16,4.16,3.71,
31 Aug 2024,4.16,4.23,4.16,4.16,3.71,
1 Sept 2024,4.13,4.23,4.13,4.13,3.71,
2 Sept 2024,4.13,4.24,4.13,4.13,3.71,
3 Sept 2024,4.14,4.24,4.14,4.14,3.71,
4 Sept 2024,4.12,4.24,4.13,4.13,3.71,
5 Sept 2024,4.12,4.24,4.13,4.13,3.71,
6 Sept 2024,4.09,4.24,4.14,4.14,3.71,
7 Sept 2024,4.12,4.24,4.13,4.13,3.71,
8 Sept 2024,4.12,4.24,4.13,4.13,3.71,
9 Sept 2024,4.12,4.24,4.13,4.13,3.71,
10 Sept 2024,4.15,4.24,4.15,4.15,3.71,
11 Sept 2024,4.11,4.24,4.15,4.15,3.71,
12 Sept 2024,4.11,4.24,4.15,4.15,3.71,
13 Sept 2024,4.16,4.25,4.2,4.2,3.71,
14 Sept 2024,4.16,4.25,4.2,4.2,3.71,
15 Sept 2024,4.16,4.25,4.2,4.2,3.71,Roll-out of release: Started roll-out of 13 (4.1) at 100%.
16 Sept 2024,4.16,4.25,4.2,4.2,3.71,
17 Sept 2024,4.21,4.25,4.23,4.23,3.71,
18 Sept 2024,4.21,4.25,4.25,4.25,3.71,
19 Sept 2024,4.23,4.25,4.26,4.26,3.71,
20 Sept 2024,4.23,4.25,4.26,4.26,3.71,
21 Sept 2024,4.28,4.27,4.28,4.28,3.71,
22 Sept 2024,4.28,4.27,4.28,4.28,3.71,
23 Sept 2024,4.28,4.27,4.28,4.28,3.71,
24 Sept 2024,4.24,4.27,4.28,4.28,3.71,
25 Sept 2024,4.24,4.27,4.28,4.28,3.71,
26 Sept 2024,4.24,4.27,4.28,4.28,3.71,
27 Sept 2024,4.23,4.22,4.24,4.24,3.71,
28 Sept 2024,4.23,4.22,4.24,4.24,3.71,
29 Sept 2024,4.23,4.22,4.24,4.24,3.71,
30 Sept 2024,4.23,4.22,4.24,4.24,3.71,
1 Oct 2024,4.23,4.23,4.26,4.26,3.63,
2 Oct 2024,4.18,4.23,4.22,4.22,3.63,
3 Oct 2024,4.18,4.23,4.22,4.22,3.63,
4 Oct 2024,4.18,4.23,4.22,4.22,3.63,
5 Oct 2024,4.18,4.23,4.22,4.22,3.63,
6 Oct 2024,4.18,4.23,4.22,4.22,3.63,
7 Oct 2024,4.18,4.23,4.22,4.22,3.63,
8 Oct 2024,4.18,4.23,4.22,4.22,3.63,
9 Oct 2024,4.18,4.23,4.22,4.22,3.63,
10 Oct 2024,4.15,4.22,4.19,4.19,3.63,
11 Oct 2024,4.15,4.22,4.19,4.19,3.63,
12 Oct 2024,4.15,4.22,4.19,4.19,3.63,
13 Oct 2024,4.16,4.22,4.19,4.19,3.63,
14 Oct 2024,4.16,4.22,4.19,4.19,3.63,
15 Oct 2024,4.16,4.22,4.19,4.19,3.63,
16 Oct 2024,4.16,4.22,4.19,4.19,3.63,
17 Oct 2024,4.15,4.23,4.2,4.2,3.63,
18 Oct 2024,4.15,4.23,4.19,4.19,3.63,
19 Oct 2024,4.15,4.23,4.19,4.19,3.63,
20 Oct 2024,4.15,4.23,4.19,4.19,3.63,
21 Oct 2024,4.15,4.23,4.19,4.19,3.63,
22 Oct 2024,4.13,4.2,4.16,4.16,3.63,
23 Oct 2024,4.12,4.2,4.15,4.15,3.63,
24 Oct 2024,4.1,4.19,4.15,4.15,3.63,
25 Oct 2024,4.11,4.19,4.14,4.14,3.63,
26 Oct 2024,4.09,4.19,4.14,4.14,3.63,
27 Oct 2024,4.09,4.19,4.14,4.14,3.63,
28 Oct 2024,4.08,4.14,4.11,4.11,3.63,
29 Oct 2024,4.03,4.1,4.09,4.09,3.78,
30 Oct 2024,4.03,4.1,4.09,4.09,3.78,
31 Oct 2024,4.03,4.1,4.09,4.09,3.78,
1 Nov 2024,4.03,4.1,4.09,4.09,3.78,
2 Nov 2024,4.03,4.1,4.09,4.09,3.78,
3 Nov 2024,4.07,4.1,4.07,4.07,3.78,
4 Nov 2024,4.04,4.1,4.07,4.07,3.5,
5 Nov 2024,4.03,4.11,4.08,4.08,3.5,
6 Nov 2024,4.03,4.11,4.08,4.08,3.5,
7 Nov 2024,4.02,4.11,4.05,4.05,3.5,
8 Nov 2024,4.03,4.11,4.06,4.06,3.5,
9 Nov 2024,4.03,4.11,4.06,4.06,3.5,
10 Nov 2024,4.03,4.11,4.06,4.06,3.5,
11 Nov 2024,4.04,4.11,4.07,4.07,3.5,
12 Nov 2024,3.97,4.11,4,4,3.5,
13 Nov 2024,3.96,4.13,4.01,4.01,3.5,
14 Nov 2024,3.96,4.13,4.01,4.01,3.5,
15 Nov 2024,3.92,4.13,3.96,3.96,3.64,
16 Nov 2024,3.92,4.13,3.96,3.96,3.64,
17 Nov 2024,3.92,4.09,3.96,3.96,3.75,
18 Nov 2024,3.92,4.09,3.96,3.96,3.75,
19 Nov 2024,3.92,4.09,3.95,3.95,3.75,
20 Nov 2024,3.92,4.09,3.95,3.95,3.75,
21 Nov 2024,3.94,4.09,3.91,3.91,3.75,
22 Nov 2024,3.94,4.09,3.91,3.91,3.75,
23 Nov 2024,3.94,4.1,3.91,3.91,3.75,
24 Nov 2024,3.95,4.1,3.98,3.98,3.75,
25 Nov 2024,3.94,4.1,3.99,3.99,3.75,
26 Nov 2024,3.95,4.1,3.98,3.98,3.75,
27 Nov 2024,3.95,4.1,3.98,3.98,3.75,
28 Nov 2024,3.92,4.1,3.95,3.95,3.75,
29 Nov 2024,3.92,4.1,3.95,3.95,3.75,
30 Nov 2024,3.9,4.1,3.96,3.96,3.75,
1 Dec 2024,3.93,4.11,3.95,3.95,3.75,
2 Dec 2024,3.93,4.11,3.97,3.97,3.75,
3 Dec 2024,3.93,4.11,3.97,3.97,3.75,
4 Dec 2024,3.93,4.11,3.96,3.96,3.77,
5 Dec 2024,3.93,4.11,3.96,3.96,3.77,
6 Dec 2024,3.96,4.12,3.97,3.97,3.77,
7 Dec 2024,3.96,4.12,3.97,3.97,3.77,
8 Dec 2024,3.96,4.12,3.97,3.97,3.77,
9 Dec 2024,3.94,4.11,3.98,3.98,3.77,
10 Dec 2024,3.94,4.11,3.98,3.98,3.77,
11 Dec 2024,3.94,4.11,3.98,3.98,3.77,
12 Dec 2024,3.94,4.11,3.98,3.98,3.77,
13 Dec 2024,3.98,4.12,3.98,3.98,3.77,
14 Dec 2024,3.97,4.11,4,4,3.77,
15 Dec 2024,3.96,4.1,3.96,3.96,3.77,
16 Dec 2024,3.96,4.1,3.96,3.96,3.77,
17 Dec 2024,3.96,4.1,3.96,3.96,3.77,
18 Dec 2024,3.98,4.12,4.02,4.02,3.77,
19 Dec 2024,3.95,4.12,3.98,3.98,3.77,
20 Dec 2024,3.96,4.12,3.99,3.99,3.77,
21 Dec 2024,3.96,4.12,3.99,3.99,3.77,
22 Dec 2024,3.96,4.12,3.99,3.99,3.77,
23 Dec 2024,3.96,4.12,3.99,3.99,3.77,
24 Dec 2024,4,4.12,4.05,4.05,3.93,
25 Dec 2024,4,4.12,4.04,4.04,3.93,
26 Dec 2024,3.96,4.12,4.02,4.02,3.93,
27 Dec 2024,3.95,4.12,4.02,4.02,3.93,
28 Dec 2024,3.95,4.12,4.02,4.02,3.93,
29 Dec 2024,3.95,4.12,4.02,4.02,3.93,
30 Dec 2024,3.95,4.12,4.02,4.02,3.93,
31 Dec 2024,3.95,4.12,4.02,4.02,3.93,
1 Jan 2025,3.95,4.12,4.02,4.02,3.86,
2 Jan 2025,3.95,4.12,4.02,4.02,3.86,
3 Jan 2025,3.95,4.12,4.02,4.02,3.86,
4 Jan 2025,3.91,4.09,3.99,3.99,3.86,
5 Jan 2025,3.91,4.09,3.98,3.98,3.86,
6 Jan 2025,3.88,4.05,3.94,3.94,3.86,
7 Jan 2025,3.88,4.05,3.94,3.94,3.86,
8 Jan 2025,3.88,4.05,3.94,3.94,3.86,
9 Jan 2025,3.88,4.05,3.94,3.94,3.86,
10 Jan 2025,3.92,4.05,3.95,3.95,3.86,
11 Jan 2025,3.94,4.05,3.99,3.99,3.86,
12 Jan 2025,3.92,4.05,3.99,3.99,3.86,
13 Jan 2025,3.92,4.05,3.99,3.99,3.86,
14 Jan 2025,3.96,4.05,4,4,3.86,
15 Jan 2025,3.96,4.05,4,4,3.86,
16 Jan 2025,3.96,4.06,3.99,3.99,3.86,
17 Jan 2025,3.96,4.06,3.99,3.99,3.86,
18 Jan 2025,3.96,4.06,3.99,3.99,3.86,
19 Jan 2025,3.97,4.06,3.99,3.99,3.86,
20 Jan 2025,3.98,4.06,4,4,3.86,
21 Jan 2025,3.94,4.06,3.96,3.96,3.67,
22 Jan 2025,3.97,4.03,3.94,3.94,3.67,
23 Jan 2025,3.97,4.03,3.94,3.94,3.67,
24 Jan 2025,3.93,4.03,3.97,3.97,3.67,
25 Jan 2025,3.89,4.03,3.93,3.93,3.69,
26 Jan 2025,3.9,4.03,3.92,3.92,3.69,
27 Jan 2025,3.87,4.03,3.89,3.89,3.59,
28 Jan 2025,3.86,4.03,3.9,3.9,3.59,
29 Jan 2025,3.8,4.03,3.85,3.85,3.59,
30 Jan 2025,3.8,4.03,3.85,3.85,3.59,
31 Jan 2025,3.8,4.03,3.85,3.85,3.59,
1 Feb 2025,3.8,4.03,3.79,3.79,3.44,
2 Feb 2025,3.84,4.03,3.83,3.83,3.44,
3 Feb 2025,3.84,4.03,3.83,3.83,3.44,
4 Feb 2025,3.84,4.03,3.83,3.83,3.44,
5 Feb 2025,3.84,4.03,3.83,3.83,3.44,
6 Feb 2025,3.84,4.03,3.87,3.87,3.44,
7 Feb 2025,3.84,4.03,3.87,3.87,3.44,
8 Feb 2025,3.84,4.03,3.87,3.87,3.44,
9 Feb 2025,3.86,4.03,3.87,3.87,3.44,
10 Feb 2025,3.86,4.03,3.87,3.87,3.44,
11 Feb 2025,3.87,4.03,3.89,3.89,3.44,
12 Feb 2025,3.9,4.03,3.9,3.9,3.44,
13 Feb 2025,3.93,4.04,3.96,3.96,3.44,
14 Feb 2025,3.93,4.04,3.96,3.96,3.44,
15 Feb 2025,3.93,4.04,3.96,3.96,3.44,
16 Feb 2025,3.9,4.04,3.92,3.92,3.44,
17 Feb 2025,3.93,4.04,3.93,3.93,3.44,
18 Feb 2025,3.93,4.04,3.93,3.93,3.44,
19 Feb 2025,3.93,4.04,3.93,3.93,3.44,
20 Feb 2025,3.92,4.04,3.93,3.93,3.44,
21 Feb 2025,3.92,4.04,3.93,3.93,3.44,
22 Feb 2025,3.92,4.04,3.93,3.93,3.44,
23 Feb 2025,3.92,4.04,3.93,3.93,3.44,
24 Feb 2025,3.92,4.04,3.93,3.93,3.44,
25 Feb 2025,3.92,4.04,3.93,3.93,3.44,
26 Feb 2025,3.96,4.04,3.94,3.94,3.44,
27 Feb 2025,3.96,4.04,3.94,3.94,3.44,
28 Feb 2025,3.96,4.04,3.94,3.94,3.44,
1 Mar 2025,3.98,4.04,3.99,3.99,3.44,
2 Mar 2025,3.97,4.04,3.95,3.95,3.44,
3 Mar 2025,3.98,4.04,3.99,3.99,3.44,
4 Mar 2025,3.95,4.05,3.96,3.96,3.44,
5 Mar 2025,3.94,4.05,3.96,3.96,3.42,
6 Mar 2025,3.94,4.05,3.96,3.96,3.42,
7 Mar 2025,3.91,4.05,3.93,3.93,3.3,
8 Mar 2025,3.91,4.05,3.93,3.93,3.3,
9 Mar 2025,3.93,4.05,3.93,3.93,3.3,
