Date,"Daily active users (DAU) (Unique users, Per interval, Daily): All countries / regions","Daily active users (DAU) (Unique users, Per interval, Daily): Egypt","Daily active users (DAU) (Unique users, Per interval, Daily): Côte d’Ivoire","Daily active users (DAU) (Unique users, Per interval, Daily): Senegal","Daily active users (DAU) (Unique users, Per interval, Daily): United Kingdom","Daily active users (DAU) (Unique users, Per interval, Daily): United States",Notes
26 Mar 2024,"3,378","1,465",-,-,-,-,
27 Mar 2024,"3,365","1,465",-,-,-,-,
28 Mar 2024,"3,383","1,322",-,-,-,-,
29 Mar 2024,"3,390","1,414",-,-,-,-,
30 Mar 2024,"3,292","1,350",-,-,-,-,
31 Mar 2024,"3,398","1,311",-,789,-,-,
1 Apr 2024,"4,142","1,279",-,"1,193",-,-,
2 Apr 2024,"3,871","1,333",-,998,-,-,
3 Apr 2024,"3,824","1,285",-,"1,145",-,-,
4 Apr 2024,"3,843","1,307",-,963,-,-,
5 Apr 2024,"3,804","1,249",-,972,-,-,
6 Apr 2024,"3,743","1,223",-,942,-,-,
7 Apr 2024,"3,780","1,236",-,973,-,-,
8 Apr 2024,"3,817","1,219",-,"1,130",-,-,
9 Apr 2024,"3,406","1,144",-,754,-,-,
10 Apr 2024,"3,194","1,000",-,-,-,-,
11 Apr 2024,"3,680","1,122",-,756,-,-,Roll-out of release: Started roll-out of 4.0 at 100%.
12 Apr 2024,"3,743","1,279",-,-,-,-,
13 Apr 2024,"3,487","1,319",-,-,-,-,
14 Apr 2024,"3,586","1,292",-,-,-,-,
15 Apr 2024,"3,427","1,301",-,-,-,-,
16 Apr 2024,"3,453","1,406",-,-,-,-,
17 Apr 2024,"3,382","1,369",-,-,-,-,
18 Apr 2024,"3,394","1,319",-,-,-,-,
19 Apr 2024,"3,626","1,402",-,-,-,-,
20 Apr 2024,"3,660","1,294",-,-,-,-,
21 Apr 2024,"3,391","1,319",-,-,-,-,
22 Apr 2024,"3,322","1,291",-,-,-,-,
23 Apr 2024,"3,429","1,340",-,-,-,-,
24 Apr 2024,"3,341","1,346",-,-,-,-,
25 Apr 2024,"3,589","1,446",-,-,-,-,
26 Apr 2024,"3,598","1,318",-,-,-,-,
27 Apr 2024,"3,539","1,280",-,-,-,-,
28 Apr 2024,"3,857","1,400",-,-,-,-,
29 Apr 2024,"3,789","1,223",-,-,-,-,
30 Apr 2024,"3,694","1,281",-,-,-,-,
1 May 2024,"3,638","1,358",-,-,-,-,
2 May 2024,"3,471","1,218",-,-,-,-,
3 May 2024,"3,548","1,286",-,-,-,-,
4 May 2024,"3,393","1,242",-,-,-,-,
5 May 2024,"3,418","1,182",-,-,-,-,
6 May 2024,"3,390","1,309",-,-,-,-,
7 May 2024,"3,491","1,372",-,-,-,-,
8 May 2024,"3,529","1,414",-,-,-,-,
9 May 2024,"3,601","1,391",-,-,-,-,
10 May 2024,"3,639","1,503",-,-,-,-,
11 May 2024,"3,449","1,363",-,-,-,-,
12 May 2024,"3,407","1,243",-,-,-,-,
13 May 2024,"3,394","1,133",-,-,-,-,
14 May 2024,"3,304","1,288",-,-,-,-,
15 May 2024,"3,279","1,292",-,-,-,-,
16 May 2024,"3,175","1,259",-,-,-,-,
17 May 2024,"3,171","1,292",-,-,-,-,
18 May 2024,"3,185","1,177",-,-,-,-,
19 May 2024,"3,179","1,111",-,-,-,-,
20 May 2024,"3,200","1,198",-,-,-,-,
21 May 2024,"3,225","1,085",-,-,-,-,
22 May 2024,"3,097","1,039",-,-,-,-,
23 May 2024,"3,141","1,138",-,-,-,-,
24 May 2024,"3,205","1,236",-,-,-,-,
25 May 2024,"3,119","1,121",-,-,-,-,
26 May 2024,"3,105","1,193",-,-,-,-,
27 May 2024,"3,035","1,225",-,-,-,-,
28 May 2024,"3,033","1,191",-,-,-,-,
29 May 2024,"3,088","1,198",-,-,-,-,
30 May 2024,"3,065","1,222",-,-,-,-,
31 May 2024,"3,040","1,257",-,-,-,-,
1 Jun 2024,"2,854","1,156",-,-,-,-,
2 Jun 2024,"2,897","1,203",-,-,-,-,
3 Jun 2024,"2,843","1,159",-,-,-,-,
4 Jun 2024,"3,057","1,164",-,-,-,-,
5 Jun 2024,"2,944","1,108",-,-,-,-,
6 Jun 2024,"2,952","1,094",-,-,-,-,
7 Jun 2024,"3,034","1,243",-,-,-,-,
8 Jun 2024,"2,855","1,118",-,-,-,-,
9 Jun 2024,"2,896","1,022",-,-,-,-,
10 Jun 2024,"2,808","1,097",-,-,-,-,
11 Jun 2024,"2,878","1,075",-,-,-,-,
12 Jun 2024,"2,817","1,127",-,-,-,-,
13 Jun 2024,"2,831","1,032",-,-,-,-,
14 Jun 2024,"3,122","1,092",-,-,-,-,
15 Jun 2024,"3,003","1,166",-,-,-,-,
16 Jun 2024,"2,729",925,-,-,-,-,
17 Jun 2024,"2,954","1,087",-,-,-,-,
18 Jun 2024,"3,066","1,106",-,-,-,-,
19 Jun 2024,"3,061","1,079",-,-,-,-,
20 Jun 2024,"3,143","1,143",-,-,-,-,
21 Jun 2024,"3,162","1,170",-,-,-,-,
22 Jun 2024,"3,083","1,179",-,-,-,-,
23 Jun 2024,"3,151","1,116",-,-,-,-,
24 Jun 2024,"3,070","1,160",-,-,-,-,
25 Jun 2024,"3,057","1,160",-,-,-,-,
26 Jun 2024,"2,994","1,024",-,-,-,-,
27 Jun 2024,"3,081","1,105",-,-,-,-,
28 Jun 2024,"3,089","1,092",-,-,-,-,
29 Jun 2024,"3,044","1,066",-,-,-,-,
30 Jun 2024,"3,287","1,117",-,-,-,-,
1 Jul 2024,"3,136","1,066",-,-,-,-,
2 Jul 2024,"3,217","1,080",-,-,-,-,
3 Jul 2024,"3,227","1,063",-,-,-,-,
4 Jul 2024,"3,107","1,113",-,-,-,-,
5 Jul 2024,"2,986",981,-,-,-,-,
6 Jul 2024,"2,991","1,012",-,-,-,-,
7 Jul 2024,"2,967","1,021",-,-,-,-,
8 Jul 2024,"2,933",992,-,-,-,-,
9 Jul 2024,"2,968","1,086",-,-,-,-,
10 Jul 2024,"2,865","1,058",-,-,-,-,
11 Jul 2024,"2,831",980,-,-,-,-,
12 Jul 2024,"2,834","1,038",-,-,-,-,
13 Jul 2024,"2,910",975,-,-,-,-,
14 Jul 2024,"2,917",969,-,-,-,-,
15 Jul 2024,"2,927","1,068",-,-,-,-,
16 Jul 2024,"2,730",939,-,-,-,-,
17 Jul 2024,"2,785",916,-,-,-,-,
18 Jul 2024,"2,601","1,015",-,-,-,-,
19 Jul 2024,"2,588",938,-,-,-,-,
20 Jul 2024,"2,823","1,027",-,-,-,-,
21 Jul 2024,"2,881",907,-,-,-,-,
22 Jul 2024,"2,834",944,-,-,-,-,
23 Jul 2024,"2,774",982,-,-,-,-,
24 Jul 2024,"2,799",984,-,-,-,-,
25 Jul 2024,"2,862","1,117",-,-,-,-,
26 Jul 2024,"2,836","1,082",-,-,-,-,
27 Jul 2024,"2,730",865,-,-,-,-,
28 Jul 2024,"2,830","1,009",-,-,-,-,
29 Jul 2024,"2,719",961,-,-,-,-,
30 Jul 2024,"2,787",941,-,-,-,-,
31 Jul 2024,"2,760",948,-,-,-,-,
1 Aug 2024,"2,744",861,-,-,-,-,
2 Aug 2024,"2,726",792,-,-,-,-,
3 Aug 2024,"2,681",910,-,-,-,-,
4 Aug 2024,"2,772",835,-,-,-,-,
5 Aug 2024,"2,541",815,-,-,-,-,
6 Aug 2024,"2,557",799,-,-,-,-,
7 Aug 2024,"2,662",769,-,-,-,-,
8 Aug 2024,"2,600",840,-,-,-,-,
9 Aug 2024,"2,562",789,-,-,-,-,
10 Aug 2024,"2,622",850,-,-,-,-,
11 Aug 2024,"2,610",803,-,-,-,-,
12 Aug 2024,"2,720",903,-,-,-,-,
13 Aug 2024,"2,720",893,-,-,-,-,
14 Aug 2024,"2,758",-,-,-,-,-,
15 Aug 2024,"2,831",869,-,-,-,-,
16 Aug 2024,"2,858",781,-,-,-,-,
17 Aug 2024,"2,931",854,-,-,-,-,
18 Aug 2024,"3,005",871,-,-,-,-,
19 Aug 2024,"2,886",778,-,-,-,-,
20 Aug 2024,"2,882",770,-,-,-,-,
21 Aug 2024,"2,972",777,-,-,-,-,
22 Aug 2024,"2,939",836,-,-,-,-,
23 Aug 2024,"3,028",828,-,-,-,-,
24 Aug 2024,"2,863",827,-,-,-,-,
25 Aug 2024,"2,763",828,-,-,-,-,
26 Aug 2024,"2,749",883,-,-,-,-,
27 Aug 2024,"2,859",826,-,-,-,-,
28 Aug 2024,"2,858",825,-,-,-,-,
29 Aug 2024,"2,826",830,-,-,-,-,
30 Aug 2024,"2,925",850,-,-,-,-,
31 Aug 2024,"2,628",818,-,-,-,-,
1 Sept 2024,"2,651",776,-,-,-,-,
2 Sept 2024,"2,674",855,-,-,-,-,
3 Sept 2024,"2,644",947,-,-,-,-,
4 Sept 2024,"2,703",896,-,-,-,-,
5 Sept 2024,"2,715",888,-,-,-,-,
6 Sept 2024,"2,750",878,-,-,-,-,
7 Sept 2024,"2,609",826,-,-,-,-,
8 Sept 2024,"2,497",-,-,-,-,-,
9 Sept 2024,"2,698",793,-,-,-,-,
10 Sept 2024,"2,497",788,-,-,-,-,
11 Sept 2024,"2,556",854,-,-,-,-,
12 Sept 2024,"2,615",929,-,-,-,-,
13 Sept 2024,"2,587",767,-,-,-,-,
14 Sept 2024,"2,549",923,-,-,-,-,
15 Sept 2024,"2,450",831,-,-,-,-,Roll-out of release: Started roll-out of 13 (4.1) at 100%.
16 Sept 2024,"2,492",839,-,-,-,-,
17 Sept 2024,"2,387",925,-,-,-,-,
18 Sept 2024,"2,530",880,-,-,-,-,
19 Sept 2024,"2,535",829,-,-,-,-,
20 Sept 2024,"2,522",872,-,-,-,-,
21 Sept 2024,"2,271",788,-,-,-,-,
22 Sept 2024,"2,381",838,-,-,-,-,
23 Sept 2024,"2,321",785,-,-,-,-,
24 Sept 2024,"2,274",802,-,-,-,-,
25 Sept 2024,"2,395",772,-,-,-,-,
26 Sept 2024,"2,523",804,-,-,-,-,
27 Sept 2024,"2,428",853,-,-,-,-,
28 Sept 2024,"2,229",866,-,-,-,-,
29 Sept 2024,"2,332",802,-,-,-,-,
30 Sept 2024,"2,398",816,-,-,-,-,
1 Oct 2024,"2,372",794,-,-,-,-,
2 Oct 2024,"2,332",-,-,-,-,-,
3 Oct 2024,"2,468",885,-,-,-,-,
4 Oct 2024,"2,466",829,-,-,-,-,
5 Oct 2024,"2,522",836,-,-,-,-,
6 Oct 2024,"2,429",801,-,-,-,-,
7 Oct 2024,"2,362",794,-,-,-,-,
8 Oct 2024,"2,348",768,-,-,-,-,
9 Oct 2024,"2,362",850,-,-,-,-,
10 Oct 2024,"2,375",851,-,-,-,-,
11 Oct 2024,"2,389",879,-,-,-,-,
12 Oct 2024,"2,556",846,-,-,-,-,
13 Oct 2024,"2,428",913,-,-,-,-,
14 Oct 2024,"2,331",786,-,-,-,-,
15 Oct 2024,"2,350",809,-,-,-,-,
16 Oct 2024,"2,401",817,-,-,-,-,
17 Oct 2024,"2,327",779,-,-,-,-,
18 Oct 2024,"2,411",929,-,-,-,-,
19 Oct 2024,"2,247",778,-,-,-,-,
20 Oct 2024,"2,275",828,-,-,-,-,
21 Oct 2024,"2,412",827,-,-,-,-,
22 Oct 2024,"2,628",918,-,-,-,-,
23 Oct 2024,"2,599",784,-,-,-,-,
24 Oct 2024,"2,552",-,-,-,-,-,
25 Oct 2024,"2,588",914,-,-,-,-,
26 Oct 2024,"2,539",839,-,-,-,-,
27 Oct 2024,"2,422",789,-,-,-,-,
28 Oct 2024,"2,407",845,-,-,-,-,
29 Oct 2024,"2,457",768,-,-,-,-,
30 Oct 2024,"2,513",809,-,-,-,-,
31 Oct 2024,"2,601",879,-,-,-,-,
1 Nov 2024,"2,591",823,-,-,-,-,
2 Nov 2024,"2,637",780,-,-,-,-,
3 Nov 2024,"2,597",852,-,-,-,-,
4 Nov 2024,"2,466",875,-,-,-,-,
5 Nov 2024,"2,424",822,-,-,-,-,
6 Nov 2024,"2,422",808,-,-,-,-,
7 Nov 2024,"2,534",944,-,-,-,-,
8 Nov 2024,"2,630",907,-,-,-,-,
9 Nov 2024,"2,626",980,-,-,-,-,
10 Nov 2024,"2,409",958,-,-,-,-,
11 Nov 2024,"2,591",948,-,-,-,-,
12 Nov 2024,"2,565",865,-,-,-,-,
13 Nov 2024,"2,473",889,-,-,-,-,
14 Nov 2024,"2,526",998,-,-,-,-,
15 Nov 2024,"2,566",980,-,-,-,-,
16 Nov 2024,"2,525",996,-,-,-,-,
17 Nov 2024,"2,421",806,-,-,-,-,
18 Nov 2024,"2,385",949,-,-,-,-,
19 Nov 2024,"2,402",864,-,-,-,-,
20 Nov 2024,"2,383",874,-,-,-,-,
21 Nov 2024,"2,379",851,-,-,-,-,
22 Nov 2024,"2,357",882,-,-,-,-,
23 Nov 2024,"2,460",847,-,-,-,-,
24 Nov 2024,"2,400",755,-,-,-,-,
25 Nov 2024,"2,335",795,-,-,-,-,
26 Nov 2024,"2,345",833,-,-,-,-,
27 Nov 2024,"2,344",788,-,-,-,-,
28 Nov 2024,"2,434",838,-,-,-,-,
29 Nov 2024,"2,499",925,-,-,-,-,
30 Nov 2024,"2,306",861,-,-,-,-,
1 Dec 2024,"2,274",805,-,-,-,-,
2 Dec 2024,"2,298",798,-,-,-,-,
3 Dec 2024,"2,190",817,-,-,-,-,
4 Dec 2024,"2,160",755,-,-,-,-,"Change in reporting data: Users who interacted with your app via Android widgets, watch faces, complications or tiles on devices running Android 15 or higher are now included in your engagement metrics."
5 Dec 2024,"2,280",760,-,-,-,-,
6 Dec 2024,"2,384",771,-,-,-,-,
7 Dec 2024,"2,246",891,-,-,-,-,
8 Dec 2024,"2,246",821,-,-,-,-,
9 Dec 2024,"2,236",764,-,-,-,-,
10 Dec 2024,"2,205",820,-,-,-,-,
11 Dec 2024,"2,172",793,-,-,-,-,
12 Dec 2024,"2,346",819,-,-,-,-,
13 Dec 2024,"2,374",764,-,-,-,-,
14 Dec 2024,"2,259",788,-,-,-,-,
15 Dec 2024,"2,292",764,-,-,-,-,
16 Dec 2024,"2,111",-,-,-,-,-,
17 Dec 2024,"2,573",764,-,-,-,-,
18 Dec 2024,"3,312",-,-,-,-,-,
19 Dec 2024,"3,276",829,-,-,-,-,
20 Dec 2024,"3,045",-,-,-,-,-,
21 Dec 2024,"2,908",792,-,-,-,-,
22 Dec 2024,"2,814",760,-,-,-,-,
23 Dec 2024,"3,043",-,-,-,-,-,
24 Dec 2024,"3,056",-,-,-,-,-,
25 Dec 2024,"2,783",-,-,-,-,-,
26 Dec 2024,"2,613",-,-,-,-,-,
27 Dec 2024,"2,720",792,-,-,-,-,
28 Dec 2024,"2,665",762,-,-,-,-,
29 Dec 2024,"2,678",-,-,-,-,-,
30 Dec 2024,"2,615",-,-,-,-,-,
31 Dec 2024,"2,522",-,-,-,-,-,
1 Jan 2025,"2,540",763,-,-,-,-,
2 Jan 2025,"2,498",-,-,-,-,-,
3 Jan 2025,"2,628",787,-,-,-,-,
4 Jan 2025,"2,406",-,-,-,-,-,
5 Jan 2025,"2,354",-,-,-,-,-,
6 Jan 2025,"2,390",-,-,-,-,-,
7 Jan 2025,"2,304",795,-,-,-,-,
8 Jan 2025,"2,281",751,-,-,-,-,
9 Jan 2025,"2,307",766,-,-,-,-,
10 Jan 2025,"2,360",-,-,-,-,-,
11 Jan 2025,"2,350",-,-,-,-,-,
12 Jan 2025,"2,215",-,-,-,-,-,
13 Jan 2025,"2,229",768,-,-,-,-,
14 Jan 2025,"2,210",-,-,-,-,-,
15 Jan 2025,"2,386",-,-,-,-,-,
16 Jan 2025,"2,330",-,-,-,-,-,
17 Jan 2025,"2,490",785,-,-,-,-,
18 Jan 2025,"2,474",-,-,-,-,-,
19 Jan 2025,"2,449",797,-,-,-,-,
20 Jan 2025,"2,429",753,-,-,-,-,
21 Jan 2025,"2,315",803,-,-,-,-,
22 Jan 2025,"2,230",774,-,-,-,-,
23 Jan 2025,"2,522",-,-,-,-,-,
24 Jan 2025,"2,551",797,-,-,-,-,
25 Jan 2025,"2,761",-,-,-,-,-,
26 Jan 2025,"2,870",755,-,-,-,-,
27 Jan 2025,"2,611",-,-,-,-,-,
28 Jan 2025,"2,622",751,-,-,-,-,
29 Jan 2025,"2,429",-,-,-,-,-,
30 Jan 2025,"2,452",-,-,-,-,-,
31 Jan 2025,"2,600",-,-,-,-,-,
1 Feb 2025,"2,474",-,-,-,-,-,
2 Feb 2025,"2,373",-,-,-,-,-,
3 Feb 2025,"2,564",-,-,-,-,-,
4 Feb 2025,"2,531",-,-,-,-,-,
5 Feb 2025,"2,571",-,-,-,-,-,
6 Feb 2025,"2,605",-,-,-,-,-,
7 Feb 2025,"2,519",-,-,-,-,-,
8 Feb 2025,"2,543",-,-,-,-,-,
9 Feb 2025,"2,449",-,-,-,-,-,
10 Feb 2025,"2,337",-,-,-,-,-,
11 Feb 2025,"2,304",-,-,-,-,-,
12 Feb 2025,"2,512",-,-,-,-,-,
13 Feb 2025,"2,707",-,-,-,-,-,
14 Feb 2025,"2,938",-,-,-,-,-,
15 Feb 2025,"2,880",-,-,-,-,-,
16 Feb 2025,"3,099",-,-,-,-,-,
17 Feb 2025,"2,864",-,-,-,-,-,
18 Feb 2025,"2,649",-,-,-,-,-,
19 Feb 2025,"2,677",-,-,-,-,-,
20 Feb 2025,"2,555",-,-,-,-,-,
21 Feb 2025,"2,689",-,-,-,-,-,
22 Feb 2025,"2,451",-,-,-,-,-,
23 Feb 2025,"2,417",-,-,-,-,-,
24 Feb 2025,"2,391",-,-,-,-,-,
25 Feb 2025,"2,415",-,-,-,-,-,
26 Feb 2025,"2,414",-,-,-,-,-,
27 Feb 2025,"2,438",-,-,-,-,-,
28 Feb 2025,"2,381",-,-,-,-,-,
1 Mar 2025,"2,285",-,-,-,-,-,
2 Mar 2025,"2,220",-,-,-,-,-,
3 Mar 2025,"2,232",-,-,-,-,-,
4 Mar 2025,"2,139",-,-,-,-,-,
5 Mar 2025,"2,163",-,-,-,-,-,
6 Mar 2025,"2,124",-,-,-,-,-,
7 Mar 2025,"2,224",-,-,-,-,-,
8 Mar 2025,"2,237",-,-,-,-,-,
9 Mar 2025,"2,111",-,-,-,-,-,
10 Mar 2025,"2,126",-,-,-,-,-,
11 Mar 2025,"1,932",-,-,-,-,-,
12 Mar 2025,"2,088",-,-,-,-,-,
13 Mar 2025,"2,131",-,-,-,-,-,
14 Mar 2025,"2,186",-,-,-,-,-,
15 Mar 2025,"2,107",-,-,-,-,-,
16 Mar 2025,"1,962",-,-,-,-,-,
17 Mar 2025,"2,035",-,-,-,-,-,
18 Mar 2025,"1,937",-,-,-,-,-,
19 Mar 2025,"2,010",-,-,-,-,-,
20 Mar 2025,"2,048",-,-,-,-,-,
21 Mar 2025,"2,042",-,-,-,-,-,
22 Mar 2025,"2,060",-,-,-,-,-,
23 Mar 2025,"2,027",-,-,-,-,-,
24 Mar 2025,"1,987",-,-,-,-,-,
25 Mar 2025,"2,029",-,-,-,-,-,
26 Mar 2025,"2,425",-,-,-,-,-,
27 Mar 2025,"2,312",-,-,-,-,-,
28 Mar 2025,"2,219",-,-,-,-,-,
29 Mar 2025,"2,178",-,-,-,-,-,
30 Mar 2025,"2,214",-,-,-,-,-,
31 Mar 2025,"2,107",-,-,-,-,-,
1 Apr 2025,"2,010",-,-,-,-,-,
2 Apr 2025,"2,276",-,-,-,-,-,
3 Apr 2025,"2,191",-,-,-,-,-,
4 Apr 2025,"2,301",-,-,-,-,-,
5 Apr 2025,"2,278",-,-,-,-,-,
6 Apr 2025,"2,296",-,-,-,-,-,
7 Apr 2025,"2,219",-,-,-,-,-,
8 Apr 2025,"2,197",-,-,-,-,-,
9 Apr 2025,"2,084",-,-,-,-,-,
10 Apr 2025,"2,173",-,-,-,-,-,
11 Apr 2025,"2,112",-,-,-,-,-,
12 Apr 2025,"2,119",-,-,-,-,-,
13 Apr 2025,"2,074",-,-,-,-,-,
14 Apr 2025,"2,182",-,-,-,-,-,
15 Apr 2025,"2,243",-,-,-,-,-,
16 Apr 2025,"2,188",-,-,-,-,-,
17 Apr 2025,"2,271",-,-,-,-,-,
18 Apr 2025,"2,322",-,-,-,-,-,
19 Apr 2025,"2,204",-,-,-,-,-,
20 Apr 2025,"2,207",-,-,-,-,-,
